Review Title,Aircraft,Type of Traveller,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food Beverages,Inflight Entertainment,Ground Service,Value For Money
“customer support was terrible”,No Aircraft,Couple Leisure,Economy Class,Zürich to London,December 2024,2,2,1,1,1,1
"""a really enjoyable experience""",Boeing 777,Couple Leisure,Business Class,London to Male,January 2025,5,5,4,5,5,4
"""Very good flight""",A320,Solo Leisure,Business Class,London Heathrow to Zurich,January 2025,3,4,4,No rating,4,4
"""relatively comfortable elderly plane""",A319,Family Leisure,Economy Class,London to Lisbon,January 2025,3,4,2,No rating,4,4
"""70 days chasing BA’s complaints department""",No Aircraft,Solo Leisure,Economy Class,Manchester to Isle of Man,November 2024,No rating,No rating,No rating,No rating,1,1
"""BA refused to reimburse me""",No Aircraft,Family Leisure,Premium Economy,Houston to cologne via London,December 2024,1,1,No rating,No rating,1,1
"""the flight was delayed""",A320,Business,Economy Class,London to Basel,January 2025,1,3,2,1,1,1
"""BA forced us to buy new tickets""",No Aircraft,Family Leisure,Economy Class,London to Phoenix,November 2023,2,2,2,2,1,1
“staff had no sympathy or empathy”,No Aircraft,Family Leisure,Economy Class,London to Johannesburg,January 2025,1,1,2,3,1,1
"""the seat is outdated""",A380,Solo Leisure,Business Class,London to Cape Town via Johannesburg,December 2024,3,4,4,1,3,3
"""a national disgrace""",No Aircraft,Family Leisure,Economy Class,Larnaca to Glasgow via Heathrow,November 2024,1,1,1,2,1,1
"""sheer neglect in keeping us informed""",No Aircraft,Couple Leisure,Economy Class,London to Rome,December 2024,2,4,No rating,No rating,1,2
"""a huge disappointment""",Boeing 777 / A350,Business,Business Class,Washington to London,December 2024,4,3,1,5,1,1
"""we had to bus to the aircraft""",Boeing 777,Solo Leisure,Business Class,Cape Town to London,December 2024,5,5,5,5,4,5
"“victims of their new supper service""",Boeing 787,Solo Leisure,First Class,Mexico City to London Heathrow,November 2024,5,5,3,3,4,4
“flight was cancelled last minute”,No Aircraft,Solo Leisure,Economy Class,London to Amsterdam,December 2024,1,1,No rating,No rating,1,1
“Nobody wants to take responsibility”,A320,Solo Leisure,Economy Class,Marrakesh to London,August 2024,2,2,1,1,1,1
"""Terrible customer service""",No Aircraft,Family Leisure,Economy Class,London Heathrow to Toronto,November 2024,1,1,1,1,1,1
“Is British Airways really this cheap”,No Aircraft,Solo Leisure,Economy Class,Milan Italy to London Heathrow,November 2024,2,1,1,No rating,3,1
"""I will never fly BA again""",No Aircraft,Family Leisure,Economy Class,Madrid to San Diego via London,October 2024,2,3,2,3,1,3
"""I was pleasantly surprised""",A321,Family Leisure,Economy Class,London to Belfast,November 2024,3,2,No rating,No rating,5,5
"""flight attendants were outstanding""",A350,Couple Leisure,Business Class,Vancouver to London,November 2024,5,5,5,4,3,4
"""Food and service was the worst""",No Aircraft,Solo Leisure,Economy Class,Malaga to London,October 2024,1,1,1,1,1,2
“flying with BA was disappointing”,A350,Solo Leisure,Economy Class,Keflavik to Cape Town via London,October 2024,2,2,1,No rating,1,2
"""won't be using her return ticket""",No Aircraft,Couple Leisure,Economy Class,Singapore to Keflavik via London,October 2024,2,2,1,2,1,3
"""the same as low cost carriers""",A320,Solo Leisure,Economy Class,Las Palmas to London Gatwick,October 2024,2,2,1,No rating,3,4
“not refunding our money”,No Aircraft,Family Leisure,Economy Class,Gatwick to Florence,August 2024,1,3,No rating,No rating,1,1
“A very poor experience”,No Aircraft,Solo Leisure,Premium Economy,Mumbai to London,November 2024,2,2,No rating,No rating,4,1
"""food and beverages being targeted""",Boeing 777-300,Family Leisure,Business Class,Singapore to London,November 2024,5,4,3,4,5,3
"""never fly with them again""",No Aircraft,Couple Leisure,Economy Class,Munich to London Heathrow,October 2024,2,3,No rating,No rating,1,1
"""still have not heard any updates""",A380,Couple Leisure,Premium Economy,Heathrow to Boston,September 2024,2,5,3,4,1,1
"""cabin crew were nice""",A380-800,Family Leisure,Economy Class,Los Angeles to London Heathrow,November 2024,3,4,3,2,4,3
"""support staff wash their hands of you""",No Aircraft,Family Leisure,Premium Economy,Vancouver to London,August 2024,1,5,3,1,1,1
"""no fuss, no bother experience""",No Aircraft,Solo Leisure,Economy Class,Vancouver to Gatwick,September 2024,4,5,5,5,5,4
"""Who can trust BA to travel2",A320,Solo Leisure,Economy Class,London to Istanbul,October 2024,3,3,1,1,1,1
"""just another poor airline""",Boeing 777,Couple Leisure,Business Class,San Francisco to Barcelona via London,October 2024,3,2,1,3,3,2
"""spent two hours trying to make contact with BA""",Boeing 787-9,Business,Business Class,Mexico City to London Heathrow,October 2024,1,1,No rating,No rating,1,1
"""using another airline for future travel""",No Aircraft,Solo Leisure,Business Class,Paris to Boston via London,July 2024,1,1,No rating,No rating,1,2
"""oversold tickets on our flight""",No Aircraft,Family Leisure,Economy Class,Geneva to London,September 2024,No rating,No rating,No rating,No rating,1,1
“Appalling service”,A380,Business,Business Class,Johannesburg to London,October 2024,2,1,2,2,1,1
“BA’s petty penny pinching ”,Boeing 787-900,Business,Business Class,London to Mexico City,October 2024,1,5,1,1,2,3
“British arrogance with no manners”,A320N,Couple Leisure,Business Class,Berlin to London Heathrow,October 2024,1,1,1,No rating,2,1
"""Terrible customer service""",No Aircraft,Couple Leisure,Business Class,London Heathrow to Philadelphia,September 2024,1,1,1,No rating,1,1
“left much to be desired”,No Aircraft,Solo Leisure,Economy Class,Johannesburg to New York City via Heathrow,October 2024,5,4,3,2,3,2
"""crew were all very friendly""",Boeing 777-336 ER,Solo Leisure,Premium Economy,New York JFK to London Heathrow,October 2024,5,5,3,5,5,4
"""Simply not good enough""",No Aircraft,Solo Leisure,Business Class,Antalya to Gatwick,October 2024,1,2,4,No rating,2,2
“BA refuses to reimburse us”,No Aircraft,Couple Leisure,Economy Class,London to Lisbon,September 2024,3,2,1,1,1,2
"""my luggage is missing""",No Aircraft,Solo Leisure,Economy Class,Edinburgh to Delhi via London,September 2024,1,1,1,No rating,1,1
"""work is needed to provide a better customer experience""",A350,Solo Leisure,Premium Economy,London to Vancouver,September 2024,4,5,2,1,3,2
"""barely a step above low cost airlines""",A320,Business,Economy Class,Gatwick to Amsterdam,September 2024,3,4,1,1,3,1
"""Happy with the flight crew""",No Aircraft,Solo Leisure,Economy Class,Paris to San Diego via London,September 2024,5,5,5,No rating,5,5
"""seats are super uncomfortable""",A321,Business,Business Class,Marrakech to Gatwick,September 2024,1,No rating,No rating,No rating,1,1
